route_id,point_index,lat,lon,cum_distance_km,elevation_m_raw,elevation_m_smoothed,segment_length_m,delta_elevation_m,gradient_percent,cum_elevation_gain_m,cum_elevation_loss_m
manali_leh,177,32.51373448006294,77.01387056582,47.471,3169.0,3163.6,212.0,-10.6,-5.0,3103.3,1844.2
manali_leh,178,32.51313889694509,77.01083778410157,47.763,3148.0,3153.6,292.0,-10.0,-3.42,3103.3,1854.2
manali_leh,179,32.512339585735106,77.0078504852477,48.057,3137.0,3136.6,293.9,-17.0,-5.78,3103.3,1871.2
manali_leh,180,32.51127774867447,77.00499712559395,48.349,3126.0,3120.4,292.4,-16.2,-5.54,3103.3,1887.4
manali_leh,181,32.5114181841848,77.00754479486736,48.589,3103.0,3104.6,239.4,-15.8,-6.6,3103.3,1903.2
manali_leh,182,32.510913419826636,77.00627784301591,48.72,3088.0,3087.4,131.4,-17.2,-13.09,3103.3,1920.4
manali_leh,183,32.5104705000243,77.00658947743248,48.777,3069.0,3076.6,57.3,-10.8,-18.86,3103.3,1931.2
manali_leh,184,32.50994507089859,77.00499967065548,48.937,3051.0,3062.8,160.1,-13.8,-8.62,3103.3,1945.0
manali_leh,185,32.50960529718506,77.00183310371129,49.237,3072.0,3046.0,299.3,-16.8,-5.61,3103.3,1961.8
manali_leh,186,32.50847439947515,76.99903419667595,49.528,3034.0,3031.8,291.0,-14.2,-4.88,3103.3,1976.0
manali_leh,187,32.50842341966775,76.99629974932556,49.784,3004.0,3022.0,256.5,-9.8,-3.82,3103.3,1985.8
manali_leh,188,32.509319984033276,76.9932904823307,50.083,2998.0,3005.0,299.3,-17.0,-5.68,3103.3,2002.8
manali_leh,189,32.51053175879935,76.9905067259949,50.377,3002.0,2993.6,293.8,-11.4,-3.88,3103.3,2014.2
manali_leh,190,32.51163358569552,76.98760309357638,50.676,2987.0,2984.6,298.6,-9.0,-3.01,3103.3,2023.2
manali_leh,191,32.51325380392929,76.9851797274028,50.966,2977.0,2976.6,290.0,-8.0,-2.76,3103.3,2031.2
manali_leh,192,32.5145964856263,76.9824308877162,51.264,2959.0,2961.6,297.9,-15.0,-5.04,3103.3,2046.2
manali_leh,193,32.516453274512074,76.9809116993617,51.514,2958.0,2949.0,250.8,-12.6,-5.02,3103.3,2058.8
manali_leh,194,32.518244543833696,76.97900255795203,51.782,2927.0,2936.0,267.8,-13.0,-4.85,3103.3,2071.8
manali_leh,195,32.519899171701034,76.9765062905767,52.08,2924.0,2927.6,297.7,-8.4,-2.82,3103.3,2080.2
manali_leh,196,32.52131748752696,76.97379538584626,52.379,2912.0,2914.0,299.1,-13.6,-4.55,3103.3,2093.8
manali_leh,197,32.523740405808,76.97284812338778,52.663,2917.0,2906.8,283.7,-7.2,-2.54,3103.3,2101.0
manali_leh,198,32.52585343008013,76.97100831128185,52.954,2890.0,2900.6,291.5,-6.2,-2.13,3103.3,2107.2
manali_leh,199,32.5282203236189,76.9695215407478,53.252,2891.0,2897.2,297.8,-3.4,-1.14,3103.3,2110.6
manali_leh,200,32.53052567162669,76.96789103161218,53.551,2893.0,2891.6,298.5,-5.6,-1.88,3103.3,2116.2
manali_leh,201,32.53316808387975,76.96748620098774,53.847,2895.0,2889.4,296.3,0.0,0.0,3103.3,2116.2
manali_leh,202,32.535676268754585,76.96860532826203,54.145,2889.0,2888.4,298.0,0.0,0.0,3103.3,2116.2
manali_leh,203,32.53820799320001,76.96933869259462,54.435,2879.0,2886.2,289.8,0.0,0.0,3103.3,2116.2
manali_leh,204,32.539894045457395,76.97170045698118,54.725,2886.0,2882.4,290.1,-3.8,-1.31,3103.3,2120.0
manali_leh,205,32.54258101591573,76.97171833821143,55.023,2882.0,2884.4,298.8,0.0,0.0,3103.3,2120.0
manali_leh,206,32.54472296254563,76.97321136731127,55.3,2876.0,2885.6,276.2,0.0,0.0,3103.3,2120.0
manali_leh,207,32.54664569995348,76.97519109198325,55.583,2899.0,2882.6,283.1,0.0,0.0,3103.3,2120.0
manali_leh,208,32.54895790692599,76.97649868570727,55.868,2885.0,2884.2,284.8,0.0,0.0,3103.3,2120.0
manali_leh,209,32.55002471272573,76.97898342327754,56.129,2871.0,2890.0,261.4,5.8,2.22,3109.1,2120.0
manali_leh,210,32.55045493051111,76.9815934339398,56.378,2890.0,2891.0,249.3,0.0,0.0,3109.1,2120.0
manali_leh,211,32.55078863796408,76.98469151538701,56.671,2905.0,2896.2,292.7,5.2,1.78,3114.3,2120.0
manali_leh,212,32.550536661447424,76.98762397477593,56.947,2904.0,2907.4,276.3,11.2,4.05,3125.5,2120.0
manali_leh,213,32.552480890314335,76.98978641236775,57.244,2911.0,2913.6,296.3,6.2,2.09,3131.7,2120.0
manali_leh,214,32.554296238712666,76.99212264685201,57.541,2927.0,2920.4,297.8,6.8,2.28,3138.5,2120.0
manali_leh,215,32.55631116144955,76.99418390973166,57.837,2921.0,2930.4,295.8,10.0,3.38,3148.5,2120.0
manali_leh,216,32.55815384212505,76.99642740368085,58.131,2939.0,2944.2,293.6,13.8,4.7,3162.3,2120.0
manali_leh,217,32.56020139574446,76.99838876525016,58.423,2954.0,2954.2,292.6,10.0,3.42,3172.3,2120.0
manali_leh,218,32.5624576853058,76.99998158204781,58.715,2980.0,2970.6,291.9,16.4,5.62,3188.7,2120.0
manali_leh,219,32.5639399351797,77.00264030846694,59.014,2977.0,2984.8,298.7,14.2,4.75,3202.9,2120.0
manali_leh,220,32.56591392550027,77.00420905541513,59.278,3003.0,2999.8,264.2,15.0,5.68,3217.9,2120.0
manali_leh,221,32.56714609003074,77.0069095023569,59.566,3010.0,3012.6,287.8,12.8,4.45,3230.7,2120.0
manali_leh,222,32.56924883162813,77.00850795943477,59.844,3029.0,3029.2,277.7,16.6,5.98,3247.3,2120.0
manali_leh,223,32.57067955958645,77.01117256081375,60.14,3044.0,3039.8,296.1,10.6,3.58,3257.9,2120.0
